Call_ID,Call_Date,Call_Start_Time,Call_End_Time,Call_Duration_Min,Call_Reason,Call_Channel,Sentiment,CSAT_Score,SLA_Target_Min,SLA_Status,State,City,Agent_ID,Call_Center_ID
C000060,12-04-24,12-04-24 9:00,12-04-24 9:04,4,Billing Question,Email,Positive,4,15,Within SLA,CA,Los Angeles,A132,CC04
C000061,19-01-24,19-01-24 14:00,19-01-24 14:13,13,New Connection,Chatbot,Neutral,3,15,Within SLA,IL,Chicago,A102,CC03
C000062,21-02-24,21-02-24 8:00,21-02-24 8:17,17,Service Issues,Call Center,Negative,2,15,SLA Violated,TX,Dallas,A070,CC02
C000063,06-03-24,06-03-24 11:00,06-03-24 11:04,4,Billing Question,Call Center,Positive,5,15,Within SLA,IL,Chicago,A095,CC03
C000064,01-02-24,01-02-24 17:00,01-02-24 17:12,12,Billing Question,Email,Neutral,5,15,Within SLA,TX,Dallas,A049,CC02
C000065,13-03-24,13-03-24 11:00,13-03-24 11:05,5,Payment Issue,Call Center,Neutral,5,15,Within SLA,TX,Dallas,A068,CC02
C000066,26-10-24,26-10-24 11:00,26-10-24 11:13,13,Service Issues,Call Center,Neutral,4,15,Within SLA,CA,Los Angeles,A134,CC04
C000067,24-12-24,24-12-24 14:00,24-12-24 14:05,5,New Connection,Call Center,Neutral,4,15,Within SLA,IL,Chicago,A103,CC03
C000068,26-09-24,26-09-24 17:00,26-09-24 17:20,20,Billing Question,Email,Positive,3,15,SLA Violated,NY,New York,A008,CC01
C000069,26-12-24,26-12-24 13:00,26-12-24 13:22,22,Power Outage,Call Center,Neutral,4,15,SLA Violated,NY,New York,A014,CC01
C000070,16-08-24,16-08-24 18:00,16-08-24 18:18,18,Power Outage,Call Center,Neutral,5,15,SLA Violated,NY,New York,A035,CC01
C000071,02-06-24,02-06-24 15:00,02-06-24 15:16,16,Service Issues,Call Center,Negative,4,15,SLA Violated,CA,Los Angeles,A130,CC04
C000072,26-06-24,26-06-24 12:00,26-06-24 12:08,8,Billing Question,Call Center,Neutral,4,15,Within SLA,NY,New York,A028,CC01
C000073,18-01-24,18-01-24 13:00,18-01-24 13:23,23,Power Outage,Chatbot,Neutral,4,15,SLA Violated,CA,Los Angeles,A123,CC04
C000074,20-03-24,20-03-24 17:00,20-03-24 17:04,4,New Connection,Call Center,Positive,2,15,Within SLA,CA,Los Angeles,A111,CC04
C000075,23-10-24,23-10-24 17:00,23-10-24 17:02,2,New Connection,Call Center,Positive,3,15,Within SLA,TX,Dallas,A060,CC02
C000076,18-10-24,18-10-24 10:00,18-10-24 10:16,16,Service Issues,Chatbot,Neutral,5,15,SLA Violated,CA,Los Angeles,A119,CC04
C000077,05-08-24,05-08-24 8:00,05-08-24 8:25,25,Power Outage,Call Center,Negative,4,15,SLA Violated,IL,Chicago,A076,CC03
C000078,16-06-24,16-06-24 13:00,16-06-24 13:04,4,Payment Issue,Call Center,Neutral,5,15,Within SLA,NY,New York,A010,CC01
C000079,05-06-24,05-06-24 11:00,05-06-24 11:12,12,Payment Issue,Call Center,Neutral,4,15,Within SLA,NY,New York,A034,CC01
C000080,08-08-24,08-08-24 18:00,08-08-24 18:22,22,Service Issues,Web Form,Negative,4,15,SLA Violated,NY,New York,A010,CC01
C000081,04-08-24,04-08-24 13:00,04-08-24 13:18,18,Service Issues,Email,Negative,5,15,SLA Violated,CA,Los Angeles,A108,CC04
C000082,01-08-24,01-08-24 19:00,01-08-24 19:21,21,Payment Issue,Call Center,Neutral,4,15,SLA Violated,CA,Los Angeles,A139,CC04
C000083,20-03-24,20-03-24 14:00,20-03-24 14:07,7,Billing Question,Chatbot,Negative,3,15,Within SLA,CA,Los Angeles,A108,CC04
C000084,26-05-24,26-05-24 19:00,26-05-24 19:04,4,Account Cancellation,Call Center,Negative,3,15,Within SLA,IL,Chicago,A101,CC03
C000085,21-04-24,21-04-24 14:00,21-04-24 14:17,17,Power Outage,Call Center,Neutral,4,15,SLA Violated,IL,Chicago,A091,CC03
C000086,19-06-24,19-06-24 17:00,19-06-24 17:18,18,Billing Question,Chatbot,Positive,3,15,SLA Violated,CA,Los Angeles,A107,CC04
C000087,16-04-24,16-04-24 15:00,16-04-24 15:06,6,New Connection,Call Center,Neutral,3,15,Within SLA,TX,Dallas,A051,CC02
C000088,10-03-24,10-03-24 9:00,10-03-24 9:03,3,Billing Question,Chatbot,Positive,5,15,Within SLA,NY,New York,A015,CC01
C000089,18-10-24,18-10-24 15:00,18-10-24 15:27,27,Service Issues,Call Center,Negative,4,15,SLA Violated,CA,Los Angeles,A119,CC04
C000090,03-04-24,03-04-24 17:00,03-04-24 17:22,22,Service Issues,Email,Negative,4,15,SLA Violated,IL,Chicago,A104,CC03
C000091,21-10-24,21-10-24 17:00,21-10-24 17:30,30,Power Outage,Web Form,Negative,2,15,SLA Violated,IL,Chicago,A079,CC03
C000092,19-07-24,19-07-24 18:00,19-07-24 18:11,11,Billing Question,Chatbot,Positive,3,15,Within SLA,NY,New York,A023,CC01
C000093,23-03-24,23-03-24 13:00,23-03-24 13:12,12,Service Issues,Call Center,Neutral,5,15,Within SLA,TX,Dallas,A070,CC02
C000094,17-07-24,17-07-24 11:00,17-07-24 11:00,0,Account Cancellation,Call Center,Negative,3,15,Within SLA,IL,Chicago,A085,CC03
C000095,09-10-24,09-10-24 11:00,09-10-24 11:04,4,Billing Question,Call Center,Positive,2,15,Within SLA,TX,Dallas,A036,CC02
C000096,30-10-24,30-10-24 12:00,30-10-24 12:18,18,Power Outage,Chatbot,Negative,3,15,SLA Violated,CA,Los Angeles,A126,CC04
C000097,28-01-24,28-01-24 19:00,28-01-24 19:09,9,Payment Issue,Chatbot,Neutral,4,15,Within SLA,IL,Chicago,A102,CC03
C000098,13-08-24,13-08-24 17:00,13-08-24 17:03,3,Payment Issue,Call Center,Neutral,4,15,Within SLA,TX,Dallas,A049,CC02
C000099,22-04-24,22-04-24 11:00,22-04-24 11:11,11,Power Outage,Call Center,Negative,3,15,Within SLA,CA,Los Angeles,A128,CC04
C000100,11-07-24,11-07-24 9:00,11-07-24 9:12,12,Service Issues,Call Center,Negative,2,15,Within SLA,CA,Los Angeles,A119,CC04
C000101,10-06-24,10-06-24 10:00,10-06-24 10:05,5,Billing Question,Email,Neutral,4,15,Within SLA,NY,New York,A004,CC01
C000102,18-11-24,18-11-24 9:00,18-11-24 9:04,4,Billing Question,Call Center,Neutral,5,15,Within SLA,NY,New York,A011,CC01
C000103,21-05-24,21-05-24 19:00,21-05-24 19:15,15,Billing Question,Call Center,Positive,5,15,Within SLA,IL,Chicago,A078,CC03
C000104,10-09-24,10-09-24 11:00,10-09-24 11:08,8,Billing Question,Email,Negative,5,15,Within SLA,TX,Dallas,A055,CC02
C000105,22-07-24,22-07-24 10:00,22-07-24 10:07,7,New Connection,Call Center,Positive,3,15,Within SLA,IL,Chicago,A104,CC03
C000106,11-04-24,11-04-24 14:00,11-04-24 14:27,27,Power Outage,Chatbot,Neutral,2,15,SLA Violated,TX,Dallas,A042,CC02
C000107,12-11-24,12-11-24 8:00,12-11-24 8:06,6,Payment Issue,Call Center,Neutral,3,15,Within SLA,CA,Los Angeles,A128,CC04
C000108,08-07-24,08-07-24 19:00,08-07-24 19:24,24,Service Issues,Call Center,Neutral,3,15,SLA Violated,CA,Los Angeles,A137,CC04
C000109,03-08-24,03-08-24 14:00,03-08-24 14:14,14,Service Issues,Call Center,Negative,4,15,Within SLA,TX,Dallas,A048,CC02
C000110,01-02-24,01-02-24 15:00,01-02-24 15:16,16,Service Issues,Call Center,Neutral,4,15,SLA Violated,TX,Dallas,A067,CC02
C000111,31-10-24,31-10-24 8:00,31-10-24 8:16,16,Billing Question,Call Center,Negative,4,15,SLA Violated,NY,New York,A012,CC01
C000112,14-11-24,14-11-24 15:00,14-11-24 15:11,11,Billing Question,Web Form,Positive,3,15,Within SLA,NY,New York,A002,CC01
C000113,30-10-24,30-10-24 18:00,30-10-24 18:05,5,Billing Question,Call Center,Positive,5,15,Within SLA,IL,Chicago,A082,CC03
C000114,22-10-24,22-10-24 9:00,22-10-24 9:23,23,Service Issues,Call Center,Neutral,3,15,SLA Violated,CA,Los Angeles,A134,CC04
C000115,20-04-24,20-04-24 14:00,20-04-24 14:17,17,Power Outage,Call Center,Neutral,3,15,SLA Violated,NY,New York,A034,CC01
C000116,30-06-24,30-06-24 11:00,30-06-24 11:17,17,Billing Question,Chatbot,Neutral,3,15,SLA Violated,TX,Dallas,A040,CC02
C000117,18-07-24,18-07-24 19:00,18-07-24 19:08,8,Billing Question,Call Center,Positive,4,15,Within SLA,IL,Chicago,A093,CC03
C000118,29-07-24,29-07-24 14:00,29-07-24 14:36,36,Power Outage,Call Center,Neutral,2,15,SLA Violated,TX,Dallas,A070,CC02
C000119,28-08-24,28-08-24 15:00,28-08-24 15:24,24,Power Outage,Call Center,Neutral,5,15,SLA Violated,CA,Los Angeles,A110,CC04
C000120,01-02-24,01-02-24 18:00,01-02-24 18:10,10,Billing Question,Call Center,Neutral,4,15,Within SLA,CA,Los Angeles,A139,CC04
C000121,19-09-24,19-09-24 8:00,19-09-24 8:03,3,Account Cancellation,Call Center,Neutral,3,15,Within SLA,CA,Los Angeles,A112,CC04
C000122,06-11-24,06-11-24 19:00,06-11-24 19:07,7,Billing Question,Call Center,Neutral,4,15,Within SLA,CA,Los Angeles,A119,CC04
C000123,02-09-24,02-09-24 10:00,02-09-24 10:08,8,Billing Question,Email,Negative,5,15,Within SLA,IL,Chicago,A079,CC03
C000124,07-07-24,07-07-24 15:00,07-07-24 15:03,3,Payment Issue,Email,Neutral,3,15,Within SLA,NY,New York,A016,CC01
C000125,13-09-24,13-09-24 14:00,13-09-24 14:21,21,Power Outage,Call Center,Neutral,5,15,SLA Violated,TX,Dallas,A070,CC02
C000126,10-01-24,10-01-24 16:00,10-01-24 16:27,27,Service Issues,Call Center,Neutral,4,15,SLA Violated,TX,Dallas,A068,CC02
C000127,07-04-24,07-04-24 8:00,07-04-24 8:15,15,Billing Question,Call Center,Neutral,4,15,Within SLA,CA,Los Angeles,A107,CC04
C000128,19-11-24,19-11-24 9:00,19-11-24 9:23,23,Billing Question,Chatbot,Negative,3,15,SLA Violated,TX,Dallas,A070,CC02
C000129,24-09-24,24-09-24 19:00,24-09-24 19:21,21,Power Outage,Email,Neutral,2,15,SLA Violated,TX,Dallas,A043,CC02
C000130,16-11-24,16-11-24 18:00,16-11-24 18:09,9,New Connection,Call Center,Positive,3,15,Within SLA,TX,Dallas,A036,CC02
C000131,27-06-24,27-06-24 9:00,27-06-24 9:02,2,Payment Issue,Call Center,Neutral,3,15,Within SLA,NY,New York,A021,CC01
C000132,31-01-24,31-01-24 12:00,31-01-24 12:17,17,Power Outage,Call Center,Negative,3,15,SLA Violated,CA,Los Angeles,A113,CC04
C000133,04-07-24,04-07-24 16:00,04-07-24 16:07,7,Payment Issue,Email,Neutral,3,15,Within SLA,CA,Los Angeles,A119,CC04
C000134,15-08-24,15-08-24 10:00,15-08-24 10:17,17,Billing Question,Call Center,Neutral,3,15,SLA Violated,TX,Dallas,A060,CC02
C000135,06-05-24,06-05-24 17:00,06-05-24 17:13,13,Power Outage,Call Center,Neutral,5,15,Within SLA,TX,Dallas,A061,CC02
C000136,07-05-24,07-05-24 11:00,07-05-24 11:13,13,Account Cancellation,Chatbot,Neutral,5,15,Within SLA,TX,Dallas,A053,CC02
C000137,06-07-24,06-07-24 17:00,06-07-24 17:03,3,Account Cancellation,Call Center,Neutral,3,15,Within SLA,TX,Dallas,A055,CC02
C000138,30-09-24,30-09-24 13:00,30-09-24 13:17,17,Power Outage,Call Center,Neutral,3,15,SLA Violated,TX,Dallas,A047,CC02
C000139,19-06-24,19-06-24 13:00,19-06-24 13:14,14,Power Outage,Web Form,Neutral,4,15,Within SLA,IL,Chicago,A101,CC03
C000140,21-09-24,21-09-24 19:00,21-09-24 19:18,18,Billing Question,Web Form,Negative,2,15,SLA Violated,NY,New York,A033,CC01
C000141,02-04-24,02-04-24 15:00,02-04-24 15:15,15,Billing Question,Call Center,Neutral,4,15,Within SLA,IL,Chicago,A096,CC03
C000142,22-07-24,22-07-24 17:00,22-07-24 17:02,2,Account Cancellation,Call Center,Neutral,3,15,Within SLA,TX,Dallas,A053,CC02
C000143,12-05-24,12-05-24 14:00,12-05-24 14:22,22,Power Outage,Call Center,Negative,4,15,SLA Violated,CA,Los Angeles,A121,CC04
C000144,16-03-24,16-03-24 18:00,16-03-24 18:25,25,Service Issues,Call Center,Neutral,3,15,SLA Violated,CA,Los Angeles,A124,CC04
C000145,28-12-24,28-12-24 17:00,28-12-24 17:18,18,Power Outage,Call Center,Negative,3,15,SLA Violated,TX,Dallas,A052,CC02
C000146,14-06-24,14-06-24 18:00,14-06-24 18:13,13,Service Issues,Call Center,Negative,4,15,Within SLA,NY,New York,A011,CC01
C000147,20-07-24,20-07-24 16:00,20-07-24 16:15,15,Power Outage,Call Center,Negative,5,15,Within SLA,CA,Los Angeles,A120,CC04
C000148,04-04-24,04-04-24 16:00,04-04-24 16:09,9,Billing Question,Call Center,Neutral,3,15,Within SLA,NY,New York,A020,CC01
C000149,07-12-24,07-12-24 10:00,07-12-24 10:17,17,Power Outage,Call Center,Neutral,4,15,SLA Violated,CA,Los Angeles,A131,CC04
C000150,31-03-24,31-03-24 15:00,31-03-24 15:19,19,Account Cancellation,Call Center,Neutral,3,15,SLA Violated,TX,Dallas,A056,CC02
C000151,24-01-24,24-01-24 12:00,24-01-24 12:12,12,Billing Question,Call Center,Neutral,4,15,Within SLA,CA,Los Angeles,A137,CC04
C000152,23-02-24,23-02-24 9:00,23-02-24 9:19,19,Service Issues,Call Center,Neutral,5,15,SLA Violated,CA,Los Angeles,A125,CC04
C000153,22-04-24,22-04-24 15:00,22-04-24 15:15,15,Power Outage,Chatbot,Neutral,3,15,Within SLA,CA,Los Angeles,A126,CC04
C000154,12-05-24,12-05-24 10:00,12-05-24 10:41,41,Service Issues,Chatbot,Negative,4,15,SLA Violated,TX,Dallas,A050,CC02
C000155,09-05-24,09-05-24 8:00,09-05-24 8:07,7,Billing Question,Call Center,Positive,5,15,Within SLA,CA,Los Angeles,A137,CC04
C000156,06-07-24,06-07-24 19:00,06-07-24 19:15,15,Billing Question,Call Center,Negative,2,15,Within SLA,TX,Dallas,A053,CC02
C000157,15-06-24,15-06-24 16:00,15-06-24 16:15,15,Power Outage,Call Center,Negative,4,15,Within SLA,TX,Dallas,A050,CC02
C000158,06-09-24,06-09-24 10:00,06-09-24 10:02,2,Billing Question,Chatbot,Neutral,3,15,Within SLA,IL,Chicago,A099,CC03
C000159,26-04-24,26-04-24 9:00,26-04-24 9:21,21,Power Outage,Call Center,Neutral,5,15,SLA Violated,CA,Los Angeles,A111,CC04
C000160,12-12-24,12-12-24 17:00,12-12-24 17:13,13,Power Outage,Email,Negative,2,15,Within SLA,IL,Chicago,A094,CC03
C000161,26-09-24,26-09-24 10:00,26-09-24 10:04,4,Payment Issue,Call Center,Neutral,2,15,Within SLA,TX,Dallas,A058,CC02
C000162,05-12-24,05-12-24 16:00,05-12-24 16:07,7,New Connection,Call Center,Neutral,3,15,Within SLA,NY,New York,A004,CC01
C000163,13-05-24,13-05-24 19:00,13-05-24 19:15,15,Service Issues,Call Center,Neutral,3,15,Within SLA,NY,New York,A012,CC01
C000164,19-09-24,19-09-24 15:00,19-09-24 15:12,12,Power Outage,Chatbot,Neutral,4,15,Within SLA,IL,Chicago,A102,CC03
C000165,09-05-24,09-05-24 8:00,09-05-24 8:11,11,Billing Question,Call Center,Positive,2,15,Within SLA,NY,New York,A034,CC01
C000166,12-08-24,12-08-24 9:00,12-08-24 9:09,9,Billing Question,Call Center,Negative,5,15,Within SLA,CA,Los Angeles,A126,CC04
C000167,29-05-24,29-05-24 11:00,29-05-24 11:27,27,Billing Question,Call Center,Positive,3,15,SLA Violated,CA,Los Angeles,A129,CC04
C000168,19-08-24,19-08-24 19:00,19-08-24 19:02,2,Payment Issue,Chatbot,Neutral,5,15,Within SLA,NY,New York,A002,CC01
C000169,18-06-24,18-06-24 9:00,18-06-24 9:07,7,Billing Question,Call Center,Negative,5,15,Within SLA,TX,Dallas,A061,CC02
C000170,15-12-24,15-12-24 15:00,15-12-24 15:17,17,Power Outage,Call Center,Neutral,3,15,SLA Violated,TX,Dallas,A042,CC02
C000171,22-06-24,22-06-24 10:00,22-06-24 10:15,15,Power Outage,Call Center,Neutral,3,15,Within SLA,IL,Chicago,A074,CC03
C000172,15-12-24,15-12-24 15:00,15-12-24 15:01,1,Payment Issue,Email,Neutral,4,15,Within SLA,CA,Los Angeles,A134,CC04
C000173,03-06-24,03-06-24 18:00,03-06-24 18:26,26,Power Outage,Call Center,Neutral,3,15,SLA Violated,IL,Chicago,A086,CC03
C000174,22-05-24,22-05-24 13:00,22-05-24 13:06,6,Billing Question,Call Center,Negative,4,15,Within SLA,NY,New York,A008,CC01
C000175,03-10-24,03-10-24 9:00,03-10-24 9:06,6,Billing Question,Call Center,Positive,5,15,Within SLA,TX,Dallas,A062,CC02
C000176,04-09-24,04-09-24 10:00,04-09-24 10:15,15,Service Issues,Email,Neutral,2,15,Within SLA,TX,Dallas,A051,CC02
C000177,26-06-24,26-06-24 15:00,26-06-24 15:18,18,Power Outage,Chatbot,Negative,4,15,SLA Violated,CA,Los Angeles,A137,CC04
C000178,23-06-24,23-06-24 10:00,23-06-24 10:08,8,Billing Question,Email,Neutral,3,15,Within SLA,NY,New York,A023,CC01
C000179,24-08-24,24-08-24 11:00,24-08-24 11:13,13,Account Cancellation,Call Center,Neutral,5,15,Within SLA,CA,Los Angeles,A139,CC04
C000180,17-08-24,17-08-24 12:00,17-08-24 12:12,12,Service Issues,Chatbot,Negative,4,15,Within SLA,IL,Chicago,A095,CC03
C000181,28-02-24,28-02-24 17:00,28-02-24 17:45,45,Service Issues,Call Center,Negative,5,15,SLA Violated,TX,Dallas,A059,CC02
C000182,06-08-24,06-08-24 9:00,06-08-24 9:17,17,Account Cancellation,Email,Neutral,4,15,SLA Violated,NY,New York,A021,CC01
C000183,16-02-24,16-02-24 16:00,16-02-24 16:10,10,Billing Question,Email,Neutral,4,15,Within SLA,IL,Chicago,A104,CC03
C000184,10-01-24,10-01-24 9:00,10-01-24 9:10,10,Billing Question,Email,Negative,3,15,Within SLA,IL,Chicago,A079,CC03
C000185,19-09-24,19-09-24 17:00,19-09-24 17:09,9,Billing Question,Email,Negative,3,15,Within SLA,CA,Los Angeles,A128,CC04
C000186,05-11-24,05-11-24 15:00,05-11-24 15:21,21,Billing Question,Call Center,Neutral,3,15,SLA Violated,NY,New York,A021,CC01
C000187,07-01-24,07-01-24 14:00,07-01-24 14:05,5,Billing Question,Call Center,Negative,4,15,Within SLA,NY,New York,A020,CC01
C000188,18-09-24,18-09-24 13:00,18-09-24 13:25,25,Billing Question,Email,Neutral,3,15,SLA Violated,NY,New York,A033,CC01
